trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.3205477223612326, 'e': 0.27199999999999935}",20,2,-23.25925471746474,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.31734224513762027, 'e': 0.26399999999999935}",30,0,-172.70249089856952,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
93,False,"{'a': 0.3141688226862441, 'e': 0.25599999999999934}",25,0,-147.37602434178123,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.3110271344593816, 'e': 0.24799999999999933}",35,0,-218.74136582446445,"{0: 21, 1: 7, 2: 2, 3: 1, 4: 4}",0
95,False,"{'a': 0.30791686311478783, 'e': 0.23999999999999932}",25,0,-107.63806681276395,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.30483769448363995, 'e': 0.23199999999999932}",20,12,-32.501218635079276,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.30178931753880356, 'e': 0.2239999999999993}",35,0,-87.13137356871087,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.2987714243634155, 'e': 0.2159999999999993}",20,0,-152.51561701486108,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
99,False,"{'a': 0.2957837101197814, 'e': 0.2079999999999993}",20,0,-85.5126344325903,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.2928258730185836, 'e': 0.1999999999999993}",30,0,-193.88507445084517,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
101,False,"{'a': 0.2898976142883978, 'e': 0.19199999999999928}",20,0,-100.66740526501918,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
102,False,"{'a': 0.2869986381455138, 'e': 0.18399999999999928}",20,0,-77.53446196595301,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.28412865176405866, 'e': 0.17599999999999927}",25,0,-149.13429303769678,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
104,False,"{'a': 0.28128736524641806, 'e': 0.16799999999999926}",25,13,-14.269351802045982,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.2784744915939539, 'e': 0.15999999999999925}",25,0,-74.2303652342697,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.2756897466780143, 'e': 0.15199999999999925}",25,0,-86.60616427956396,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
107,False,"{'a': 0.2729328492112342, 'e': 0.14399999999999924}",30,15,-8.950078017942987,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.27020352071912185, 'e': 0.13599999999999923}",30,5,-138.07857396114795,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",1
109,False,"{'a': 0.26750148551193065, 'e': 0.12799999999999923}",20,14,-37.912765986838984,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.26482647065681136, 'e': 0.11999999999999922}",35,0,-171.96194427417643,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
111,False,"{'a': 0.26217820595024327, 'e': 0.11199999999999921}",20,0,-98.72873670853448,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.25955642389074085, 'e': 0.1039999999999992}",20,0,-142.4682991494038,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
113,False,"{'a': 0.25696085965183346, 'e': 0.0959999999999992}",25,0,-62.07061823519136,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
114,False,"{'a': 0.2543912510553151, 'e': 0.08799999999999919}",35,0,-120.4089714498256,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
115,False,"{'a': 0.251847338544762, 'e': 0.07999999999999918}",20,0,-134.26002130512003,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
116,False,"{'a': 0.24932886515931438, 'e': 0.07199999999999918}",30,0,-167.41650463476572,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
117,False,"{'a': 0.24683557650772123, 'e': 0.06399999999999917}",20,0,-92.15536766226194,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.24436722074264403, 'e': 0.05599999999999917}",25,0,-154.15860021385504,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
119,False,"{'a': 0.24192354853521758, 'e': 0.04799999999999917}",20,0,-131.82359759588704,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,12,23.230620204462873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,6,25.031967197742112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,11,25.392971008977607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,29.26664652958483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,19,20.94060697833244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,6,23.85252950106649,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,12,17.052569762158882,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,12,24.294932836654326,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,14,24.56484699751137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,15,29.887623578220712,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
